antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Home_0', 'Away_0'})","frozenset({'Home_Venue', 'Draw'})",0.08700036300568709,0.16573226313878917,0.0625983140402533,0.7195178488641633,4.341447073956973,1.0,0.04817954698542459,2.9744057990241854,0.843003680616407,0.32923207467119225,0.6637983961946045,0.548612660134199
"frozenset({'Home_1', 'Away_1'})","frozenset({'Home_Venue', 'Draw'})",0.10192393014157222,0.16573226313878917,0.07292380913967653,0.7154728927582114,4.317040503809768,1.0,0.05603172552931392,2.932120404795939,0.8555620786563743,0.37448218724109367,0.6589498854261426,0.577741313743428
"frozenset({'Home_1', 'Away_1'})",frozenset({'Draw'}),0.10192393014157222,0.2326059774936474,0.10192393014157222,1.0,4.299115658054448,1.0,0.07821581474099759,inf,0.8544866612772838,0.43818276400208084,1.0,0.7190913820010404
"frozenset({'Home_0', 'Away_0'})",frozenset({'Draw'}),0.08700036300568709,0.2326059774936474,0.08700036300568709,1.0,4.299115658054448,1.0,0.06676355852644708,inf,0.840519526418095,0.3740246228541703,1.0,0.6870123114270852
"frozenset({'Home_1', 'Home_Venue', 'Away_1'})",frozenset({'Draw'}),0.07292380913967653,0.2326059774936474,0.07292380913967653,1.0,4.299115658054448,1.0,0.05596129523218189,inf,0.8277572329780292,0.31350788971735744,1.0,0.6567539448586788
"frozenset({'Home_0', 'Home_Venue', 'Away_0'})",frozenset({'Draw'}),0.0625983140402533,0.2326059774936474,0.0625983140402533,1.0,4.299115658054448,1.0,0.04803757201346587,inf,0.8186394733445204,0.2691173920582625,1.0,0.6345586960291313
"frozenset({'Away_0', 'Draw'})","frozenset({'Home_0', 'Home_Venue'})",0.08700036300568709,0.17722744322994394,0.0625983140402533,0.7195178488641633,4.0598557184545285,1.0,0.04717946214467838,2.9334221569471266,0.8255050685615286,0.3104620924184837,0.6591012317706357,0.536363385060211
"frozenset({'Away Win', 'Away_1'})","frozenset({'Home_0', 'Home_Venue'})",0.07627152825394265,0.17722744322994394,0.05199048118420522,0.6816499206768905,3.846187183282236,1.0,0.03847307324051853,2.584489875169727,0.801103653513649,0.2580064051240993,0.6130764490093703,0.4875022475482768
"frozenset({'Away Win', 'Home_Venue', 'Away_1'})",frozenset({'Home_0'}),0.05199048118420522,0.2620094381478643,0.05199048118420522,1.0,3.8166564039408866,1.0,0.038368484420094495,inf,0.7784632402995235,0.19842980295566504,1.0,0.5992149014778325
"frozenset({'Away Win', 'Away_1'})",frozenset({'Home_0'}),0.07627152825394265,0.2620094381478643,0.07627152825394265,1.0,3.8166564039408866,1.0,0.056287667989448176,inf,0.7989258580036678,0.29110221674876857,1.0,0.6455511083743842
"frozenset({'Away_0', 'Home_Venue', 'Draw'})",frozenset({'Home_0'}),0.0625983140402533,0.2620094381478643,0.0625983140402533,1.0,3.8166564039408866,1.0,0.04619696494956297,inf,0.787272492577772,0.23891625615763548,1.0,0.6194581280788177
"frozenset({'Away_0', 'Draw'})",frozenset({'Home_0'}),0.08700036300568709,0.2620094381478643,0.08700036300568709,1.0,3.8166564039408866,1.0,0.06420544677590677,inf,0.8083141897861812,0.3320504926108374,1.0,0.6660252463054187
